Date,Open,High,Low,Close,Adj Close,Volume
2023-03-30,1.040000,1.070000,1.020000,1.070000,1.070000,11500
2023-03-31,1.100000,1.120000,1.090000,1.120000,1.120000,34600
2023-04-03,1.140000,1.170000,1.110000,1.150000,1.150000,56700
2023-04-04,1.150000,1.160000,1.140000,1.140000,1.140000,17500
2023-04-05,1.140000,1.160000,1.130000,1.140000,1.140000,28600
2023-04-06,1.150000,1.200000,1.150000,1.160000,1.160000,39500
2023-04-10,1.120000,1.180000,1.120000,1.150000,1.150000,10200
2023-04-11,1.120000,1.170000,1.120000,1.150000,1.150000,7300
2023-04-12,1.150000,1.210000,1.140000,1.210000,1.210000,39800
2023-04-13,1.200000,1.210000,1.150000,1.170000,1.170000,10900
2023-04-14,1.140000,1.150000,1.100000,1.100000,1.100000,6600
2023-04-17,1.120000,1.120000,1.090000,1.090000,1.090000,6400
2023-04-18,1.120000,1.120000,1.070000,1.070000,1.070000,11700
2023-04-19,1.070000,1.070000,1.050000,1.050000,1.050000,19600
2023-04-20,1.050000,1.060000,1.000000,1.050000,1.050000,24800
2023-04-21,1.040000,1.060000,1.030000,1.040000,1.040000,6400
2023-04-24,1.030000,1.060000,1.030000,1.040000,1.040000,7300
2023-04-25,1.020000,1.030000,1.020000,1.020000,1.020000,7100
2023-04-26,1.050000,1.050000,1.010000,1.020000,1.020000,7800
2023-04-27,1.030000,1.040000,1.030000,1.030000,1.030000,7200
2023-04-28,1.060000,1.060000,1.010000,1.020000,1.020000,11300
2023-05-01,1.020000,1.040000,1.000000,1.010000,1.010000,48100
2023-05-02,1.000000,1.030000,1.000000,1.010000,1.010000,13200
2023-05-03,1.020000,1.040000,1.010000,1.020000,1.020000,41900
2023-05-04,1.020000,1.040000,1.020000,1.020000,1.020000,21300
2023-05-05,1.010000,1.020000,1.010000,1.020000,1.020000,9600
2023-05-08,1.010000,1.030000,1.010000,1.020000,1.020000,23900
2023-05-09,1.020000,1.030000,1.010000,1.020000,1.020000,10600
2023-05-10,1.010000,1.020000,0.990000,1.000000,1.000000,30600
2023-05-11,1.010000,1.020000,0.990000,1.020000,1.020000,2800
2023-05-12,0.990000,1.020000,0.990000,1.010000,1.010000,7500
2023-05-15,0.980000,1.020000,0.980000,1.000000,1.000000,7800
2023-05-16,1.010000,1.030000,0.990000,0.990000,0.990000,7200
2023-05-17,0.990000,1.040000,0.990000,0.990000,0.990000,9400
2023-05-18,0.990000,1.020000,0.990000,0.990000,0.990000,9300
2023-05-19,1.000000,1.010000,1.000000,1.000000,1.000000,10000
2023-05-22,1.010000,1.010000,0.990000,0.990000,0.990000,39300
2023-05-23,0.960000,1.030000,0.960000,1.020000,1.020000,28700
2023-05-24,1.030000,1.030000,1.010000,1.020000,1.020000,7400
2023-05-25,1.020000,1.030000,1.000000,1.000000,1.000000,7600
2023-05-26,1.050000,1.080000,1.010000,1.020000,1.020000,45700
2023-05-30,1.100000,1.100000,1.010000,1.030000,1.030000,22500
2023-05-31,1.030000,1.050000,1.030000,1.030000,1.030000,26900
2023-06-01,1.050000,1.060000,1.010000,1.060000,1.060000,33300
2023-06-02,1.040000,1.060000,1.030000,1.040000,1.040000,56700
2023-06-05,0.980000,1.040000,0.980000,1.010000,1.010000,32800
2023-06-06,1.020000,1.050000,1.010000,1.030000,1.030000,28000
2023-06-07,1.010000,1.020000,0.990000,1.000000,1.000000,59700
2023-06-08,1.040000,1.040000,1.000000,1.010000,1.010000,22800
2023-06-09,1.000000,1.020000,1.000000,1.000000,1.000000,38100
2023-06-12,1.010000,1.020000,1.000000,1.020000,1.020000,9200
2023-06-13,1.010000,1.020000,1.000000,1.000000,1.000000,22700
2023-06-14,1.000000,1.020000,0.990000,1.000000,1.000000,20100
2023-06-15,0.980000,1.010000,0.980000,1.000000,1.000000,23600
2023-06-16,1.000000,1.010000,0.960000,0.970000,0.970000,20300
2023-06-20,0.990000,0.990000,0.930000,0.950000,0.950000,47100
2023-06-21,0.940000,0.980000,0.940000,0.970000,0.970000,43100
2023-06-22,0.970000,0.970000,0.970000,0.970000,0.970000,12500
2023-06-23,0.970000,0.980000,0.950000,0.950000,0.950000,21000
2023-06-26,0.970000,0.970000,0.950000,0.970000,0.970000,15500
2023-06-27,0.940000,0.980000,0.940000,0.980000,0.980000,7700
2023-06-28,0.960000,0.980000,0.940000,0.950000,0.950000,12300
2023-06-29,0.940000,0.970000,0.940000,0.940000,0.940000,7400
2023-06-30,0.930000,0.970000,0.930000,0.960000,0.960000,8000
2023-07-03,0.950000,0.960000,0.950000,0.950000,0.950000,11600
2023-07-05,0.970000,0.970000,0.940000,0.940000,0.940000,6500
2023-07-06,0.950000,0.970000,0.920000,0.920000,0.920000,29500
2023-07-07,0.920000,0.960000,0.920000,0.940000,0.940000,6300
2023-07-10,0.940000,0.950000,0.930000,0.940000,0.940000,7400
2023-07-11,0.930000,0.950000,0.930000,0.940000,0.940000,9900
2023-07-12,0.930000,0.950000,0.820000,0.910000,0.910000,89800
2023-07-13,0.920000,0.920000,0.910000,0.920000,0.920000,10200
2023-07-14,0.900000,0.910000,0.890000,0.900000,0.900000,6400
2023-07-17,0.900000,0.910000,0.900000,0.910000,0.910000,15700
2023-07-18,0.890000,0.910000,0.860000,0.910000,0.910000,21500
2023-07-19,0.910000,0.910000,0.880000,0.890000,0.890000,17600
2023-07-20,0.890000,0.910000,0.890000,0.890000,0.890000,11200
2023-07-21,0.920000,0.920000,0.880000,0.890000,0.890000,24500
2023-07-24,0.890000,0.890000,0.880000,0.880000,0.880000,10200
2023-07-25,0.880000,0.890000,0.880000,0.880000,0.880000,22200
2023-07-26,0.890000,0.890000,0.870000,0.880000,0.880000,17700
2023-07-27,0.880000,0.880000,0.850000,0.870000,0.870000,15100
2023-07-28,0.870000,0.890000,0.820000,0.840000,0.840000,132400
2023-07-31,0.840000,0.900000,0.840000,0.870000,0.870000,19900
2023-08-01,0.870000,0.900000,0.860000,0.880000,0.880000,23600
2023-08-02,0.900000,0.900000,0.870000,0.900000,0.900000,22100
2023-08-03,0.870000,0.900000,0.870000,0.900000,0.900000,25500
2023-08-04,0.890000,0.890000,0.870000,0.870000,0.870000,5300
2023-08-07,0.850000,0.860000,0.840000,0.840000,0.840000,22200
2023-08-08,0.840000,0.870000,0.810000,0.870000,0.870000,19700
2023-08-09,0.870000,0.870000,0.830000,0.850000,0.850000,11500
2023-08-10,0.850000,0.900000,0.850000,0.870000,0.870000,40900
2023-08-11,0.840000,0.900000,0.840000,0.870000,0.870000,13500
2023-08-14,0.910000,0.910000,0.860000,0.880000,0.880000,31600
2023-08-15,0.860000,0.880000,0.840000,0.840000,0.840000,7500
2023-08-16,0.850000,0.940000,0.840000,0.850000,0.850000,41000
2023-08-17,0.820000,0.870000,0.820000,0.850000,0.850000,25900
2023-08-18,0.840000,0.850000,0.820000,0.820000,0.820000,8200
2023-08-21,0.790000,0.820000,0.790000,0.810000,0.810000,18600
2023-08-22,0.810000,0.830000,0.790000,0.810000,0.810000,9000
2023-08-23,0.810000,0.830000,0.790000,0.830000,0.830000,9600
2023-08-24,0.810000,0.860000,0.810000,0.820000,0.820000,9000
2023-08-25,0.810000,0.850000,0.790000,0.830000,0.830000,6600
2023-08-28,0.810000,0.830000,0.810000,0.810000,0.810000,4700
2023-08-29,0.840000,0.860000,0.830000,0.840000,0.840000,16000
2023-08-30,0.860000,0.870000,0.840000,0.860000,0.860000,9200
2023-08-31,0.810000,0.850000,0.800000,0.820000,0.820000,15800
2023-09-01,0.850000,0.860000,0.810000,0.810000,0.810000,9200
2023-09-05,0.820000,0.850000,0.810000,0.840000,0.840000,12500
2023-09-06,0.840000,0.840000,0.810000,0.820000,0.820000,18600
2023-09-07,0.800000,0.820000,0.790000,0.800000,0.800000,27100
2023-09-08,0.810000,0.810000,0.790000,0.790000,0.790000,15200
2023-09-11,0.790000,0.810000,0.790000,0.790000,0.790000,5500
2023-09-12,0.790000,0.810000,0.790000,0.790000,0.790000,9700
2023-09-13,0.790000,0.800000,0.790000,0.800000,0.800000,9800
2023-09-14,0.800000,0.800000,0.780000,0.790000,0.790000,14000
2023-09-15,0.790000,0.790000,0.760000,0.780000,0.780000,28400
2023-09-18,0.830000,0.830000,0.770000,0.810000,0.810000,13200
2023-09-19,0.830000,0.830000,0.780000,0.820000,0.820000,14600
2023-09-20,0.820000,0.830000,0.780000,0.780000,0.780000,6400
2023-09-21,0.810000,0.830000,0.760000,0.790000,0.790000,20500
2023-09-22,0.770000,0.810000,0.770000,0.790000,0.790000,6500
2023-09-25,0.820000,0.820000,0.770000,0.790000,0.790000,26200
2023-09-26,0.790000,0.830000,0.770000,0.780000,0.780000,5000
2023-09-27,0.770000,0.770000,0.770000,0.770000,0.770000,18600
2023-09-28,0.770000,0.770000,0.770000,0.770000,0.770000,5000
2023-09-29,0.770000,0.770000,0.760000,0.760000,0.760000,16200
2023-10-02,0.760000,0.770000,0.760000,0.760000,0.760000,12600
